"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.943958870E-1,9.294582605E-1,-1.929683685E-1,1.527771950E-1
3.994065120E-1,9.299740195E-1,-1.656551361E-1,1.117477417E-1
4.044171890E-1,7.494137287E-1,-2.350120544E-1,1.108818054E-1
4.094302620E-1,5.874121785E-1,-2.621889114E-1,1.373457909E-1
4.144409910E-1,4.890767932E-1,-2.892484665E-1,1.390628815E-1
4.194517200E-1,4.102547169E-1,-2.163257599E-1,1.944708824E-1
4.244625010E-1,3.317391276E-1,-9.249877930E-2,2.331628799E-1
4.294752100E-1,2.205717415E-1,-4.158973694E-3,1.531696320E-1
4.344860430E-1,7.337209582E-2,9.605121613E-2,3.769731522E-2
4.394968760E-1,-1.218595207E-1,9.994602203E-2,-4.759883881E-2
4.445077620E-1,-2.877826691E-1,1.093425751E-1,-6.551170349E-2
4.495202100E-1,-3.524989486E-1,8.811569214E-2,-5.595827103E-2
4.545311470E-1,-3.760568798E-1,5.619335175E-2,-7.915973663E-2
4.595420330E-1,-2.849303484E-1,1.118707657E-1,-6.299972534E-2
4.645529700E-1,-1.132100374E-1,9.602832794E-2,-2.364540100E-2
4.695651580E-1,9.279176593E-3,7.805728912E-2,-4.525375366E-2
4.745761470E-1,1.139158905E-1,8.456039429E-2,-5.044937134E-3
4.795871890E-1,1.609663069E-1,1.046009064E-1,3.954219818E-2
4.845981260E-1,1.678127199E-1,6.273269653E-2,3.299474716E-2
4.896102100E-1,1.629010737E-1,7.156848907E-2,2.791786194E-2
4.946212510E-1,1.379428953E-1,4.357528687E-2,2.533817291E-2
4.996322930E-1,2.690048516E-2,3.957653046E-2,1.570224762E-2
5.046433350E-1,1.224401593E-2,1.108312607E-1,9.826183319E-3
5.096552100E-1,-9.984962642E-2,6.365585327E-2,-4.614210129E-2
5.146662510E-1,-2.465568930E-1,9.488105774E-3,1.660823822E-3
5.196773970E-1,-2.957226038E-1,-1.781558990E-2,1.533608437E-1
5.246884910E-1,-3.943535388E-1,-5.783843994E-2,2.631435394E-1
5.297002100E-1,-5.142710209E-1,-1.296691895E-1,2.323088646E-1
5.347113030E-1,-5.246213675E-1,-1.922817230E-1,1.549925804E-1
5.397224490E-1,-4.416783452E-1,-1.663103104E-1,1.187224388E-1
5.447335950E-1,-2.892148793E-1,-1.378030777E-1,5.975723267E-3
5.497452100E-1,-1.231496930E-1,-1.468591690E-1,-1.053357124E-1
5.547564080E-1,1.054708213E-1,-1.295747757E-1,-1.330852509E-3
5.597675010E-1,2.103269696E-1,-1.510219574E-1,1.569490433E-1
5.647786990E-1,1.973717213E-1,-1.583356857E-1,1.460013390E-1
5.694495330E-1,1.514681131E-1,-1.267890930E-1,7.008552551E-2
5.744433870E-1,9.722737968E-2,-6.200599670E-2,-9.865760803E-3
5.794371890E-1,6.424343586E-2,-8.171176910E-2,-4.940414429E-2
5.844310430E-1,4.018227756E-2,-3.732013702E-2,-6.810760498E-2
5.898456780E-1,6.822621822E-2,4.276847839E-2,-7.335662842E-2
5.948395330E-1,5.377651751E-2,9.320163727E-2,-1.250367165E-1
5.998333870E-1,1.861773431E-2,5.187129974E-2,-2.214703560E-1
6.048272410E-1,-5.237932503E-2,2.356624603E-2,-3.507647514E-1
6.100759910E-1,-2.447180450E-2,7.719707489E-2,-2.916269302E-1
6.150871890E-1,-4.045635462E-3,8.929824829E-2,-1.532111168E-1
6.200984390E-1,-1.088712513E-1,4.870128632E-2,-2.104959488E-1
6.251096890E-1,-1.299563348E-1,3.644943237E-2,-2.443895340E-1
6.301209910E-1,-1.082288176E-1,5.305385590E-2,-2.304954529E-1
6.351322410E-1,-1.854650676E-2,7.929992676E-2,-1.781563759E-1
6.401434910E-1,7.227641344E-2,1.009140015E-1,-1.833443642E-1
6.451546890E-1,1.549659967E-1,7.641601562E-2,-2.420678139E-1
6.501660430E-1,2.236562520E-1,5.667018890E-2,-2.263197899E-1
6.551773450E-1,2.951524258E-1,7.307720184E-2,-3.101778030E-2
6.601885950E-1,2.998490036E-1,1.417636871E-2,1.396956444E-1
6.651997930E-1,2.593077719E-1,-5.317497253E-2,1.832685471E-1
6.702110430E-1,2.761543989E-1,-6.135654449E-2,1.882262230E-1
6.752222930E-1,3.146362305E-1,-4.182243347E-2,2.268843651E-1
6.802335430E-1,3.351051807E-1,-2.632904053E-2,2.706108093E-1
6.852447930E-1,3.841474056E-1,9.023666382E-3,2.010135651E-1
6.899904180E-1,4.693456888E-1,1.079683304E-1,1.615366936E-1
6.949881260E-1,4.820754528E-1,1.378984451E-1,1.941084862E-1
6.999858870E-1,4.109018147E-1,1.177272797E-1,2.460346222E-1
7.049835950E-1,2.938036919E-1,4.311275482E-2,3.183550835E-1
7.100337510E-1,1.962328404E-1,-5.290985107E-2,3.670940399E-1
7.150341680E-1,6.479865313E-2,-1.038179398E-1,3.677778244E-1
7.200345850E-1,-2.721212804E-2,-1.546173096E-1,4.414844513E-1
7.250350530E-1,-8.106929064E-2,-1.729192734E-1,4.836359024E-1
7.300774490E-1,-6.630292535E-2,-1.312475204E-1,5.440435410E-1
7.350800530E-1,2.462324500E-2,1.793956757E-2,4.730710983E-1
7.400826580E-1,-2.911648154E-2,-5.603027344E-2,3.259639740E-1
7.450852620E-1,-8.158230782E-2,-1.196880341E-1,1.998662949E-1
7.501214080E-1,-9.089499712E-3,-8.161258698E-2,1.430678368E-1
7.551257300E-1,-6.587542593E-2,-7.954406738E-2,1.082725525E-1
7.601300530E-1,-1.338964999E-1,-9.059333801E-2,-4.484891891E-2
7.651343760E-1,-2.013515532E-1,-8.255004883E-2,-1.165671349E-1
7.701655740E-1,-2.412571758E-1,-1.627540588E-2,-1.713356972E-1
7.751713030E-1,-2.846780419E-1,2.471256256E-2,-1.245446205E-1
7.801770330E-1,-3.932355344E-1,5.369091034E-2,-1.551208496E-1
7.851827620E-1,-4.293669462E-1,6.408786774E-2,-1.659836769E-1
7.902099490E-1,-4.414150715E-1,1.313400269E-1,-1.844129562E-1
7.952167720E-1,-4.712028801E-1,1.381635666E-1,-2.539319992E-1
8.002235430E-1,-4.658470750E-1,6.914615631E-2,-3.339710236E-1
8.052303660E-1,-3.992549777E-1,8.553504944E-3,-3.768692017E-1
8.102544280E-1,-1.749639660E-1,4.248237610E-2,-3.730289936E-1
8.152621370E-1,-1.136521995E-2,3.492355347E-3,-4.233906269E-1
8.202698450E-1,1.059918404E-1,-3.837776184E-2,-4.835300446E-1
8.252775530E-1,2.182030678E-1,-3.316593170E-2,-3.873083591E-1
8.305650530E-1,2.977709770E-1,-1.154613495E-2,-2.855672836E-1
8.355873450E-1,2.219718099E-1,-5.925464630E-2,-3.045067787E-1
8.406096890E-1,1.714523733E-1,-9.498977661E-2,-2.840685844E-1
8.456319800E-1,1.854688227E-1,-3.226661682E-2,-2.588734627E-1
8.506542720E-1,1.641033590E-1,4.439830780E-2,-2.040381432E-1
8.553544800E-1,1.243063658E-1,8.494186401E-2,-1.694841385E-1
8.603631780E-1,1.245984286E-1,1.118040085E-1,8.143758774E-2
8.653718760E-1,-5.942851305E-3,1.005516052E-1,1.407537460E-1
