"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.075562655E1,6.496614895E1,2.561457950E1,1.092847274E1,2.843524170E1,1.600000024E0,1.173000031E2,5.631446454E-2,3.790092468E0,2.500000000E0,5.100000000E1
3.175510598E1,6.496614299E1,2.561460961E1,1.079796976E1,2.830474854E1,1.549999952E0,1.153000031E2,5.788031335E-2,3.790092468E0,2.500000000E0,2.200000000E1
3.275526176E1,6.496613773E1,2.561464048E1,1.082792877E1,2.833471680E1,1.519999981E0,1.125999985E2,5.940908392E-2,3.790092468E0,2.500000000E0,2.200000000E1
3.375575894E1,6.496613280E1,2.561467081E1,1.072098631E1,2.822778320E1,1.539999962E0,1.125000000E2,6.090302478E-2,3.790092468E0,2.500000000E0,2.200000000E1
3.475581754E1,6.496612834E1,2.561470076E1,1.081631486E1,2.832312012E1,1.539999962E0,1.124000015E2,6.239067571E-2,3.790092468E0,2.500000000E0,2.100000000E1
3.575584207E1,6.496612462E1,2.561473113E1,1.083351906E1,2.834033203E1,1.539999962E0,1.145000000E2,6.394064294E-2,3.790092468E0,2.500000000E0,4.600000000E1
3.675549426E1,6.496612046E1,2.561476257E1,1.064656010E1,2.815338135E1,1.529999971E0,1.106999969E2,6.546312002E-2,3.790092468E0,2.500000000E0,5.000000000E1
3.775606384E1,6.496611549E1,2.561479272E1,1.071826753E1,2.822509766E1,1.539999962E0,1.130000000E2,6.700457325E-2,3.790092468E0,2.500000000E0,5.100000000E1
3.875566957E1,6.496611024E1,2.561482304E1,1.051415680E1,2.802099609E1,1.539999962E0,1.153000031E2,6.860178416E-2,3.790092468E0,2.500000000E0,5.100000000E1
3.975529806E1,6.496610494E1,2.561485459E1,1.035624947E1,2.786309814E1,1.600000024E0,1.161999969E2,7.017344719E-2,3.790092468E0,2.500000000E0,5.100000000E1
4.075536066E1,6.496609891E1,2.561488480E1,1.056607844E1,2.807293701E1,1.570000052E0,1.136999969E2,7.179151939E-2,3.790092468E0,2.500000000E0,5.100000000E1
4.175595566E1,6.496609316E1,2.561491639E1,1.062325856E1,2.813012695E1,1.590000033E0,1.144000015E2,7.327125782E-2,3.790092468E0,2.500000000E0,5.100000000E1
4.275571285E1,6.496608856E1,2.561494590E1,1.065150940E1,2.815838623E1,1.559999943E0,1.115999985E2,7.473769688E-2,3.790092468E0,2.500000000E0,5.200000000E1
4.375516154E1,6.496608353E1,2.561497471E1,1.055958170E1,2.806646729E1,1.519999981E0,1.129000015E2,7.632020487E-2,3.790092468E0,2.500000000E0,5.100000000E1
4.475599233E1,6.496607768E1,2.561500537E1,1.046881264E1,2.797570801E1,1.570000052E0,1.156999969E2,7.801158537E-2,3.790092468E0,2.500000000E0,5.100000000E1
4.575581311E1,6.496607223E1,2.561503893E1,1.031554356E1,2.782244873E1,1.600000024E0,1.125000000E2,7.971142339E-2,3.790092468E0,2.500000000E0,5.100000000E1
4.675555649E1,6.496606655E1,2.561507247E1,1.022453012E1,2.773144531E1,1.580000043E0,1.128000031E2,8.137425440E-2,3.790092468E0,2.500000000E0,5.100000000E1
4.775585258E1,6.496606109E1,2.561510537E1,1.030234022E1,2.780926514E1,1.580000043E0,1.115000000E2,8.298388355E-2,3.790092468E0,2.500000000E0,5.100000000E1
4.875536139E1,6.496605642E1,2.561513775E1,1.045266091E1,2.795959473E1,1.600000024E0,1.101999969E2,8.458905226E-2,3.790092468E0,2.500000000E0,5.000000000E1
4.975548024E1,6.496605003E1,2.561516834E1,1.034089524E1,2.784783936E1,1.620000005E0,1.134000015E2,8.611740885E-2,3.790092468E0,2.500000000E0,5.000000000E1
5.075538363E1,6.496604463E1,2.561519821E1,1.016608131E1,2.767303467E1,1.600000024E0,1.135000000E2,8.761446108E-2,3.790092468E0,2.500000000E0,5.100000000E1
5.175511081E1,6.496604028E1,2.561522832E1,1.025494021E1,2.776190186E1,1.539999962E0,1.093000031E2,8.920156738E-2,3.790092468E0,2.500000000E0,5.100000000E1
5.275597743E1,6.496603587E1,2.561526040E1,1.033970944E1,2.784667969E1,1.590000033E0,1.076999969E2,9.085344414E-2,3.790092468E0,2.500000000E0,5.200000000E1
5.375561904E1,6.496603136E1,2.561529385E1,1.040384849E1,2.791082764E1,1.580000043E0,1.081999969E2,9.247341893E-2,3.790092468E0,2.500000000E0,5.200000000E1
5.475537139E1,6.496602648E1,2.561532629E1,1.024624661E1,2.775323486E1,1.580000043E0,1.091999969E2,9.407544131E-2,3.790092468E0,2.500000000E0,5.200000000E1
5.575571836E1,6.496602149E1,2.561535823E1,1.043446989E1,2.794146729E1,1.559999943E0,1.085999985E2,9.571391593E-2,3.790092468E0,2.500000000E0,5.200000000E1
5.675527982E1,6.496601653E1,2.561539102E1,1.027570822E1,2.778271484E1,1.570000052E0,1.040000000E2,9.731625558E-2,3.790092468E0,2.500000000E0,5.100000000E1
5.775585664E1,6.496601184E1,2.561542322E1,1.028259630E1,2.778961182E1,1.610000014E0,1.071999969E2,9.883206601E-2,3.790092468E0,2.500000000E0,5.100000000E1
5.875568951E1,6.496600872E1,2.561545458E1,1.024309928E1,2.775012207E1,1.570000052E0,1.016999969E2,1.003902196E-1,3.790092468E0,2.500000000E0,5.100000000E1
5.975518800E1,6.496600612E1,2.561548712E1,1.026433257E1,2.777136230E1,1.559999943E0,1.015999985E2,1.018872516E-1,3.790092468E0,2.500000000E0,5.200000000E1
6.075596659E1,6.496600293E1,2.561551803E1,1.018223300E1,2.768927002E1,1.519999981E0,1.059000015E2,1.033838994E-1,3.790092468E0,2.500000000E0,5.200000000E1
6.175585560E1,6.496600063E1,2.561554937E1,1.018161616E1,2.768865967E1,1.529999971E0,1.049000015E2,1.048740798E-1,3.790092468E0,2.500000000E0,5.200000000E1
6.275576648E1,6.496599614E1,2.561557921E1,1.009713512E1,2.760418701E1,1.570000052E0,1.075999985E2,1.064859697E-1,3.790092468E0,2.500000000E0,5.300000000E1
6.375607347E1,6.496599272E1,2.561561250E1,1.012379966E1,2.763085938E1,1.620000005E0,1.025000000E2,1.080487795E-1,3.790092468E0,2.500000000E0,5.300000000E1
6.475597232E1,6.496599021E1,2.561564518E1,1.017603887E1,2.768310547E1,1.610000014E0,1.020999985E2,1.096213443E-1,3.790092468E0,2.500000000E0,5.300000000E1
6.575535753E1,6.496598717E1,2.561567782E1,9.993536381E0,2.750061035E1,1.539999962E0,1.028000031E2,1.111745263E-1,3.790092468E0,2.500000000E0,5.300000000E1
6.675510435E1,6.496598425E1,2.561571010E1,9.994200554E0,2.750128174E1,1.529999971E0,1.014000015E2,1.128278738E-1,3.790092468E0,2.500000000E0,5.300000000E1
6.775607966E1,6.496598128E1,2.561574453E1,1.003832142E1,2.754541016E1,1.519999981E0,9.940000153E1,1.143577642E-1,3.790092468E0,2.500000000E0,5.300000000E1
6.875591607E1,6.496597754E1,2.561577582E1,1.020670955E1,2.771380615E1,1.500000000E0,1.020999985E2,1.158660932E-1,3.790092468E0,2.500000000E0,5.200000000E1
6.975566956E1,6.496597526E1,2.561580742E1,1.027848039E1,2.778558350E1,1.509999990E0,9.800000000E1,1.173579776E-1,3.790092468E0,2.500000000E0,5.200000000E1
7.075552331E1,6.496597359E1,2.561583888E1,1.032431188E1,2.783142090E1,1.529999971E0,1.000000000E2,1.188449036E-1,9.935046196E0,2.500000000E0,5.200000000E1
7.175569909E1,6.496597242E1,2.561587036E1,1.043960186E1,2.794671631E1,1.519999981E0,1.006999969E2,1.203715885E-1,9.935046196E0,2.500000000E0,5.200000000E1
7.275532133E1,6.496597142E1,2.561590272E1,1.045113212E1,2.795825195E1,1.539999962E0,9.909999847E1,1.218609199E-1,9.935046196E0,2.500000000E0,5.200000000E1
7.375536601E1,6.496597058E1,2.561593431E1,1.052790921E1,2.803503418E1,1.559999943E0,9.750000000E1,1.233615633E-1,9.935046196E0,2.500000000E0,5.000000000E1
7.475525008E1,6.496596839E1,2.561596578E1,1.039295408E1,2.790008545E1,1.529999971E0,1.010999985E2,1.248691516E-1,9.935046196E0,2.500000000E0,4.900000000E1
7.575538560E1,6.496596615E1,2.561599738E1,1.035187095E1,2.785900879E1,1.529999971E0,9.719999695E1,1.264011820E-1,9.935046196E0,2.500000000E0,4.900000000E1
7.675511549E1,6.496596483E1,2.561602979E1,1.025231690E1,2.775946045E1,1.509999990E0,9.609999847E1,1.279338687E-1,9.935046196E0,2.500000000E0,4.800000000E1
7.775577695E1,6.496596523E1,2.561606235E1,1.058910482E1,2.809625244E1,1.480000019E0,8.750000000E1,1.294692825E-1,9.935046196E0,2.500000000E0,2.200000000E1
7.875541799E1,6.496596537E1,2.561609498E1,1.067723524E1,2.818438721E1,1.539999962E0,9.259999847E1,1.309985253E-1,9.935046196E0,2.500000000E0,2.200000000E1
7.975548554E1,6.496596502E1,2.561612747E1,1.073100243E1,2.823815918E1,1.529999971E0,9.450000000E1,1.325189834E-1,9.935046196E0,2.500000000E0,4.300000000E1
8.075524549E1,6.496596462E1,2.561615977E1,1.057865387E1,2.808581543E1,1.580000043E0,9.490000153E1,1.339317504E-1,9.935046196E0,2.500000000E0,4.500000000E1
8.175533184E1,6.496596221E1,2.561618925E1,1.056949226E1,2.807666016E1,1.490000010E0,9.930000305E1,1.354830483E-1,9.935046196E0,2.500000000E0,4.800000000E1
8.275525273E1,6.496596010E1,2.561622184E1,1.078591644E1,2.829309082E1,1.590000033E0,9.659999847E1,1.370687441E-1,9.935046196E0,2.500000000E0,5.000000000E1
