"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.507555749E2,6.496591466E1,2.561849867E1,1.109751167E1,2.860504150E1,1.740000010E0,9.180000305E1,2.445828703E-1,9.935046196E0,2.500000000E0,7.200000000E1
1.517559513E2,6.496591429E1,2.561853484E1,1.123184474E1,2.873937988E1,1.720000029E0,9.140000153E1,2.463300707E-1,9.935046196E0,2.500000000E0,7.200000000E1
1.527557114E2,6.496591388E1,2.561857196E1,1.129934414E1,2.880688477E1,1.730000019E0,9.169999695E1,2.480237105E-1,9.935046196E0,2.500000000E0,7.200000000E1
1.537558193E2,6.496591332E1,2.561860793E1,1.138625274E1,2.889379883E1,1.690000057E0,9.250000000E1,2.497854136E-1,9.935046196E0,2.500000000E0,7.200000000E1
1.547552197E2,6.496591258E1,2.561864533E1,1.143171810E1,2.893927002E1,1.700000048E0,9.230000305E1,2.514391751E-1,9.935046196E0,2.500000000E0,7.200000000E1
1.557555967E2,6.496591304E1,2.561868046E1,1.139728990E1,2.890484619E1,1.750000000E0,9.369999695E1,2.531467282E-1,9.935046196E0,2.500000000E0,5.300000000E1
1.567556810E2,6.496591306E1,2.561871675E1,1.150360818E1,2.901116943E1,1.730000019E0,9.330000305E1,2.548476422E-1,9.935046196E0,2.500000000E0,6.900000000E1
1.577558255E2,6.496591272E1,2.561875289E1,1.142566101E1,2.893322754E1,1.730000019E0,9.180000305E1,2.564928299E-1,9.935046196E0,2.500000000E0,7.100000000E1
1.587554094E2,6.496591248E1,2.561878785E1,1.130962816E1,2.881719971E1,1.710000038E0,9.450000000E1,2.582272050E-1,9.935046196E0,2.500000000E0,7.200000000E1
1.597553926E2,6.496591251E1,2.561882471E1,1.116277255E1,2.867034912E1,1.710000038E0,9.169999695E1,2.599756100E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.607555596E2,6.496591163E1,2.561886181E1,1.128813284E1,2.879571533E1,1.740000010E0,9.490000153E1,2.616601766E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.617551283E2,6.496591049E1,2.561889751E1,1.133256045E1,2.884014893E1,1.690000057E0,9.480000305E1,2.634508299E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.627559481E2,6.496590918E1,2.561893544E1,1.115756620E1,2.866516113E1,1.730000019E0,9.559999847E1,2.652575819E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.637551832E2,6.496590745E1,2.561897362E1,1.088009349E1,2.838769531E1,1.730000019E0,9.550000000E1,2.669669738E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.647560829E2,6.496590447E1,2.561900926E1,1.095497590E1,2.846258545E1,1.750000000E0,9.909999847E1,2.686981901E-1,9.935046196E0,2.500000000E0,7.200000000E1
1.657556958E2,6.496590164E1,2.561904544E1,1.093031003E1,2.843792725E1,1.759999990E0,9.909999847E1,2.704625451E-1,9.935046196E0,2.500000000E0,7.200000000E1
1.667552202E2,6.496589875E1,2.561908231E1,1.086957223E1,2.837719727E1,1.740000010E0,9.809999847E1,2.723827347E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.677559561E2,6.496589499E1,2.561912214E1,1.070452411E1,2.821215820E1,1.740000010E0,1.001999969E2,2.742456318E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.687555661E2,6.496589172E1,2.561916097E1,1.083488676E1,2.834252930E1,1.779999971E0,1.020999985E2,2.760613332E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.697552010E2,6.496588780E1,2.561919843E1,1.068662348E1,2.819427490E1,1.720000029E0,1.015999985E2,2.779359287E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.707552652E2,6.496588361E1,2.561923702E1,1.064651408E1,2.815417480E1,1.720000029E0,1.010000000E2,2.796928913E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.717556658E2,6.496587982E1,2.561927327E1,1.050905432E1,2.801672363E1,1.779999971E0,1.028000031E2,2.815124171E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.727554794E2,6.496587616E1,2.561931096E1,1.039967065E1,2.790734863E1,1.769999981E0,1.025000000E2,2.833248841E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.737557060E2,6.496587193E1,2.561934816E1,1.036767908E1,2.787536621E1,1.759999990E0,1.024000015E2,2.850196803E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.747554472E2,6.496586905E1,2.561938353E1,1.047405576E1,2.798175049E1,1.759999990E0,1.030999985E2,2.867420805E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.757556687E2,6.496586574E1,2.561941929E1,1.045549300E1,2.796319580E1,1.740000010E0,1.039000015E2,2.884701266E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.767557594E2,6.496586220E1,2.561945505E1,1.058420786E1,2.809191895E1,1.740000010E0,1.039000015E2,2.901899213E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.777555498E2,6.496585766E1,2.561948999E1,1.065976025E1,2.816748047E1,1.759999990E0,1.044000015E2,2.918600957E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.787560242E2,6.496585306E1,2.561952378E1,1.075594262E1,2.826367188E1,1.730000019E0,1.048000031E2,2.936127336E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.797557490E2,6.496584940E1,2.561956001E1,1.056971589E1,2.807745361E1,1.730000019E0,1.035999985E2,2.951713039E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.807556276E2,6.496584495E1,2.561959142E1,1.020984405E1,2.771759033E1,1.740000010E0,1.041999969E2,2.968749849E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.817551381E2,6.496584101E1,2.561962641E1,1.006109281E1,2.756884766E1,1.730000019E0,1.050999985E2,2.986811699E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.827557589E2,6.496583754E1,2.561966391E1,9.986560423E0,2.749432373E1,1.720000029E0,1.054000015E2,3.003428273E-1,9.935046196E0,2.500000000E0,7.300000000E1
1.837551968E2,6.496583555E1,2.561969891E1,9.976910167E0,2.748468018E1,1.759999990E0,1.046999969E2,3.020458256E-1,9.935046196E0,2.500000000E0,7.200000000E1
1.847557846E2,6.496583215E1,2.561973420E1,9.856662819E0,2.736444092E1,1.720000029E0,1.045000000E2,3.036536943E-1,9.935046196E0,2.500000000E0,7.200000000E1
1.857567841E2,6.496582846E1,2.561976724E1,9.669337865E0,2.717712402E1,1.759999990E0,1.050000000E2,3.053359266E-1,9.935046196E0,2.500000000E0,7.400000000E1
1.867568533E2,6.496582470E1,2.561980187E1,9.497088310E0,2.700488281E1,1.789999962E0,1.054000015E2,3.070166031E-1,9.935046196E0,2.500000000E0,7.400000000E1
1.877566582E2,6.496582098E1,2.561983649E1,9.770456470E0,2.727825928E1,1.779999971E0,1.028000031E2,3.087135777E-1,9.935046196E0,2.500000000E0,7.400000000E1
1.887563762E2,6.496581666E1,2.561987108E1,9.787171228E0,2.729498291E1,1.759999990E0,1.053000031E2,3.104969599E-1,9.935046196E0,2.500000000E0,7.400000000E1
1.897563822E2,6.496581272E1,2.561990782E1,9.686149238E0,2.719396973E1,1.759999990E0,1.025999985E2,3.122530924E-1,9.935046196E0,2.500000000E0,7.400000000E1
1.907568685E2,6.496580860E1,2.561994385E1,9.649153052E0,2.715698242E1,1.769999981E0,1.055999985E2,3.140608299E-1,9.935046196E0,2.500000000E0,5.500000000E1
1.917562049E2,6.496580444E1,2.561998099E1,9.887120055E0,2.739495850E1,1.730000019E0,1.049000015E2,3.159677109E-1,9.935046196E0,2.500000000E0,6.900000000E1
1.927566511E2,6.496579966E1,2.562001991E1,1.002224198E1,2.753009033E1,1.750000000E0,1.059000015E2,3.179624163E-1,9.935046196E0,2.500000000E0,7.000000000E1
1.937568278E2,6.496579547E1,2.562006113E1,1.014558437E1,2.765344238E1,1.789999962E0,1.050000000E2,3.198712548E-1,9.935046196E0,2.500000000E0,7.100000000E1
1.947570441E2,6.496579202E1,2.562010087E1,1.017768012E1,2.768554688E1,1.779999971E0,1.035000000E2,3.216475132E-1,9.935046196E0,2.500000000E0,7.100000000E1
1.957570025E2,6.496578881E1,2.562013785E1,1.033172471E1,2.783959961E1,1.759999990E0,1.024000015E2,3.233918229E-1,9.935046196E0,2.500000000E0,7.100000000E1
1.967561447E2,6.496578602E1,2.562017433E1,1.021910717E1,2.772698975E1,1.730000019E0,1.028000031E2,3.252375738E-1,9.935046196E0,2.500000000E0,7.100000000E1
1.977568592E2,6.496578232E1,2.562021257E1,1.011881763E1,2.762670898E1,1.779999971E0,1.036999969E2,3.269011413E-1,9.935046196E0,2.500000000E0,7.100000000E1
1.987569364E2,6.496577773E1,2.562024622E1,1.019919193E1,2.770709229E1,1.690000057E0,1.069000015E2,3.284988351E-1,9.935046196E0,2.500000000E0,7.000000000E1
1.997563096E2,6.496577213E1,2.562027749E1,1.025692154E1,2.776483154E1,1.669999957E0,1.165999985E2,3.300533333E-1,9.935046196E0,2.500000000E0,7.100000000E1
2.007570659E2,6.496576175E1,2.562029962E1,1.008478943E1,2.759271240E1,1.559999943E0,1.426000061E2,3.315664184E-1,9.935046196E0,2.500000000E0,7.100000000E1
2.017570490E2,6.496574831E1,2.562030465E1,9.826719238E0,2.733465576E1,1.639999986E0,1.748000031E2,3.333135174E-1,9.935046196E0,2.500000000E0,7.100000000E1
2.027570998E2,6.496573263E1,2.562030228E1,9.711470182E0,2.721942139E1,1.759999990E0,1.861999969E2,3.351001269E-1,9.935046196E0,2.500000000E0,7.200000000E1
2.037560846E2,6.496571690E1,2.562029454E1,9.385162245E0,2.689312744E1,1.740000010E0,1.888000031E2,3.368377454E-1,9.935046196E0,2.500000000E0,7.200000000E1
2.047563654E2,6.496570171E1,2.562028587E1,9.278459444E0,2.678643799E1,1.779999971E0,1.916999969E2,3.385479780E-1,9.935046196E0,2.500000000E0,7.100000000E1
2.057561577E2,6.496568696E1,2.562027557E1,9.309574671E0,2.681756592E1,1.759999990E0,1.933999939E2,3.403744602E-1,9.935046196E0,2.500000000E0,7.100000000E1
2.067570586E2,6.496567104E1,2.562026601E1,9.120595903E0,2.662860107E1,1.789999962E0,1.938000031E2,3.422784487E-1,9.935046196E0,2.500000000E0,7.100000000E1
2.077565953E2,6.496565453E1,2.562025528E1,8.833777376E0,2.634179688E1,1.809999943E0,1.950000000E2,3.440733641E-1,9.935046196E0,2.500000000E0,7.200000000E1
2.087571417E2,6.496563902E1,2.562024471E1,8.816368963E0,2.632440186E1,1.799999952E0,1.956999969E2,3.458699744E-1,9.935046196E0,2.500000000E0,7.200000000E1
2.097565551E2,6.496562325E1,2.562023640E1,8.834238312E0,2.634228516E1,1.820000052E0,1.948000031E2,3.476919539E-1,9.935046196E0,2.500000000E0,7.200000000E1
2.107568987E2,6.496560736E1,2.562022695E1,8.798335730E0,2.630639648E1,1.809999943E0,1.956000061E2,3.495189043E-1,9.935046196E0,2.500000000E0,7.200000000E1
2.117568818E2,6.496559156E1,2.562021630E1,8.826154102E0,2.633422852E1,1.799999952E0,1.975000000E2,3.512811985E-1,9.935046196E0,2.500000000E0,7.200000000E1
2.127567528E2,6.496557632E1,2.562020602E1,8.913970518E0,2.642205811E1,1.789999962E0,1.931999969E2,3.531675973E-1,9.935046196E0,2.500000000E0,7.000000000E1
2.137563828E2,6.496555982E1,2.562019670E1,9.032303175E0,2.654040527E1,1.850000024E0,1.906999969E2,3.550119323E-1,9.935046196E0,2.500000000E0,6.800000000E1
2.147564646E2,6.496554358E1,2.562018873E1,8.973206696E0,2.648132324E1,1.820000052E0,1.903999939E2,3.569186746E-1,9.935046196E0,2.500000000E0,7.000000000E1
2.157567770E2,6.496552716E1,2.562017705E1,8.800707234E0,2.630883789E1,1.769999981E0,1.931000061E2,3.587301288E-1,9.935046196E0,2.500000000E0,7.000000000E1
2.167560666E2,6.496551157E1,2.562016588E1,8.812900879E0,2.632104492E1,1.779999971E0,1.940000000E2,3.605362718E-1,9.935046196E0,2.500000000E0,7.100000000E1
2.177568717E2,6.496549569E1,2.562015781E1,8.753560618E0,2.626171875E1,1.759999990E0,1.930000000E2,3.623449707E-1,9.935046196E0,2.500000000E0,6.800000000E1
2.187570940E2,6.496547972E1,2.562015051E1,8.713995556E0,2.622216797E1,1.779999971E0,1.943000031E2,3.641551803E-1,9.935046196E0,2.500000000E0,6.600000000E1
2.197569196E2,6.496546379E1,2.562014258E1,8.760978470E0,2.626916504E1,1.769999981E0,1.948999939E2,3.659613028E-1,9.935046196E0,2.500000000E0,6.700000000E1
2.207568578E2,6.496544818E1,2.562013197E1,8.841287254E0,2.634948730E1,1.840000033E0,1.943999939E2,3.677512526E-1,9.935046196E0,2.500000000E0,6.500000000E1
2.217565449E2,6.496543275E1,2.562012113E1,8.801845265E0,2.631005859E1,1.769999981E0,1.948999939E2,3.695691965E-1,9.935046196E0,2.500000000E0,6.600000000E1
2.227566443E2,6.496541693E1,2.562011138E1,8.800732831E0,2.630895996E1,1.809999943E0,1.938000031E2,3.713838863E-1,9.935046196E0,2.500000000E0,4.900000000E1
2.237563041E2,6.496540092E1,2.562010390E1,8.697508088E0,2.620574951E1,1.759999990E0,1.935000000E2,3.731072216E-1,9.935046196E0,2.500000000E0,6.000000000E1
2.247564233E2,6.496538578E1,2.562009607E1,8.566330124E0,2.607458496E1,1.740000010E0,1.943999939E2,3.748468029E-1,9.935046196E0,2.500000000E0,6.100000000E1
2.257567745E2,6.496537046E1,2.562008858E1,8.573640711E0,2.608190918E1,1.769999981E0,1.931999969E2,3.765969502E-1,9.935046196E0,2.500000000E0,6.100000000E1
2.267565527E2,6.496535533E1,2.562007833E1,8.752338577E0,2.626062012E1,1.789999962E0,1.956999969E2,3.783708624E-1,9.935046196E0,2.500000000E0,6.100000000E1
2.277571511E2,6.496533996E1,2.562006823E1,8.933233458E0,2.644152832E1,1.759999990E0,1.938999939E2,3.801523673E-1,9.935046196E0,2.500000000E0,6.200000000E1
2.287564528E2,6.496532445E1,2.562005874E1,9.026908884E0,2.653521729E1,1.799999952E0,1.930000000E2,3.818687893E-1,9.935046196E0,2.500000000E0,6.500000000E1
2.297569610E2,6.496530945E1,2.562005013E1,8.642313192E0,2.615063477E1,1.779999971E0,1.918999939E2,3.836278971E-1,9.935046196E0,2.500000000E0,6.800000000E1
2.307563820E2,6.496529409E1,2.562004118E1,8.482692789E0,2.599102783E1,1.820000052E0,1.926999969E2,3.853342231E-1,9.935046196E0,2.500000000E0,6.900000000E1
2.317564527E2,6.496527916E1,2.562003280E1,8.878553676E0,2.638690186E1,1.789999962E0,1.945000000E2,3.871636681E-1,9.935046196E0,2.500000000E0,6.900000000E1
2.327565930E2,6.496526292E1,2.562002657E1,8.864378835E0,2.637274170E1,1.789999962E0,1.921999969E2,3.890649113E-1,9.935046196E0,2.500000000E0,7.200000000E1
2.337561160E2,6.496524630E1,2.562001708E1,8.950912086E0,2.645928955E1,1.779999971E0,1.930000000E2,3.908412214E-1,9.935046196E0,2.500000000E0,7.200000000E1
2.347570653E2,6.496523134E1,2.562000384E1,9.076143729E0,2.658453369E1,1.779999971E0,1.966000061E2,3.926442329E-1,9.935046196E0,2.500000000E0,7.200000000E1
2.357568354E2,6.496521579E1,2.561999298E1,9.086506317E0,2.659490967E1,1.779999971E0,1.973999939E2,3.945878681E-1,9.935046196E0,2.500000000E0,7.100000000E1
2.367565340E2,6.496519925E1,2.561997962E1,8.790349746E0,2.629876709E1,1.809999943E0,2.008999939E2,3.964108297E-1,9.935046196E0,2.500000000E0,7.000000000E1
2.377563284E2,6.496518456E1,2.561996242E1,9.125176918E0,2.663360596E1,1.820000052E0,2.121999969E2,3.982320794E-1,9.935046196E0,2.500000000E0,7.000000000E1
2.387567720E2,6.496517215E1,2.561993716E1,9.181381890E0,2.668981934E1,1.850000024E0,2.228000031E2,4.002072321E-1,9.935046196E0,2.500000000E0,7.000000000E1
2.397561832E2,6.496516152E1,2.561990353E1,9.281412956E0,2.678985596E1,1.980000019E0,2.318999939E2,4.022130224E-1,9.935046196E0,2.500000000E0,7.100000000E1
2.407570524E2,6.496515299E1,2.561986597E1,9.636390420E0,2.714483643E1,1.980000019E0,2.393999939E2,4.041846685E-1,9.935046196E0,2.500000000E0,7.200000000E1
2.417567648E2,6.496514576E1,2.561982771E1,9.629430747E0,2.713787842E1,2.009999990E0,2.443999939E2,4.063620191E-1,9.935046196E0,2.500000000E0,7.200000000E1
2.427565332E2,6.496513871E1,2.561978454E1,9.507603757E0,2.701605225E1,2.130000114E0,2.471999969E2,4.084611866E-1,9.935046196E0,2.500000000E0,7.200000000E1
2.437565045E2,6.496513275E1,2.561974221E1,9.287327987E0,2.679577637E1,2.099999905E0,2.501999969E2,4.105019364E-1,9.935046196E0,2.500000000E0,7.200000000E1
2.447568519E2,6.496512841E1,2.561970007E1,9.236548370E0,2.674499512E1,2.059999943E0,2.533000031E2,4.125937247E-1,9.935046196E0,2.500000000E0,7.000000000E1
2.457568051E2,6.496512636E1,2.561965588E1,9.382792710E0,2.689123535E1,2.009999990E0,2.620000000E2,4.146405793E-1,9.935046196E0,2.500000000E0,5.200000000E1
2.467565011E2,6.496512885E1,2.561961278E1,9.589099838E0,2.709753418E1,2.000000000E0,2.728999939E2,4.166703895E-1,9.935046196E0,2.500000000E0,6.500000000E1
2.477563295E2,6.496513341E1,2.561957101E1,9.808653393E0,2.731707764E1,2.019999981E0,2.770000000E2,4.186954643E-1,9.935046196E0,2.500000000E0,6.500000000E1
2.487566055E2,6.496513764E1,2.561952915E1,9.632149515E0,2.714056396E1,2.029999971E0,2.781000061E2,4.207089102E-1,9.935046196E0,2.500000000E0,6.700000000E1
2.497569971E2,6.496514256E1,2.561948797E1,9.382342982E0,2.689074707E1,2.029999971E0,2.780000000E2,4.229702276E-1,9.935046196E0,2.500000000E0,6.700000000E1
2.507566790E2,6.496514748E1,2.561944134E1,9.169036220E0,2.667742920E1,2.170000076E0,2.800000000E2,4.251007898E-1,9.935046196E0,2.500000000E0,6.700000000E1
2.517566655E2,6.496515008E1,2.561939648E1,9.158424749E0,2.666680908E1,2.140000105E0,2.780000000E2,4.271201556E-1,9.935046196E0,2.500000000E0,6.700000000E1
2.527560765E2,6.496515307E1,2.561935415E1,9.133103831E0,2.664147949E1,2.019999981E0,2.818999939E2,4.291078481E-1,9.935046196E0,2.500000000E0,6.700000000E1
2.537562486E2,6.496515473E1,2.561931209E1,9.193230822E0,2.670159912E1,1.990000010E0,2.792000122E2,4.310551832E-1,9.935046196E0,2.500000000E0,6.800000000E1
2.547564364E2,6.496515692E1,2.561927103E1,9.181336699E0,2.668969727E1,1.940000057E0,2.778999939E2,4.329967304E-1,9.935046196E0,2.500000000E0,6.800000000E1
2.557569442E2,6.496515929E1,2.561923015E1,8.755624364E0,2.626397705E1,1.929999948E0,2.808999939E2,4.349072342E-1,9.935046196E0,2.500000000E0,6.100000000E1
2.567570424E2,6.496516417E1,2.561919122E1,8.706317970E0,2.621466064E1,1.919999957E0,2.831000061E2,4.368378373E-1,9.935046196E0,2.500000000E0,6.900000000E1
2.577569051E2,6.496516727E1,2.561915085E1,8.445645326E0,2.595397949E1,1.940000057E0,2.827999878E2,4.387118065E-1,9.935046196E0,2.500000000E0,6.800000000E1
2.587570861E2,6.496517155E1,2.561911233E1,8.521338302E0,2.602966309E1,1.980000019E0,2.822999878E2,4.406940669E-1,9.935046196E0,2.500000000E0,6.800000000E1
2.597563355E2,6.496517393E1,2.561907058E1,8.352095822E0,2.586041260E1,1.950000048E0,2.810000000E2,4.426786363E-1,9.935046196E0,2.500000000E0,6.700000000E1
2.607565109E2,6.496517736E1,2.561902919E1,8.145866992E0,2.565417480E1,2.000000000E0,2.813999939E2,4.447124690E-1,9.935046196E0,2.500000000E0,6.800000000E1
2.617567312E2,6.496517979E1,2.561898635E1,8.317872268E0,2.582617188E1,1.980000019E0,2.810000000E2,4.467434262E-1,9.935046196E0,2.500000000E0,6.700000000E1
2.627564332E2,6.496518283E1,2.561894379E1,8.385080726E0,2.589337158E1,1.960000038E0,2.811000061E2,4.486765416E-1,9.935046196E0,2.500000000E0,6.900000000E1
2.637566724E2,6.496518594E1,2.561890337E1,8.574176163E0,2.608245850E1,1.919999957E0,2.810000000E2,4.506634468E-1,9.935046196E0,2.500000000E0,6.800000000E1
2.647567298E2,6.496518954E1,2.561886201E1,8.379971418E0,2.588824463E1,1.960000038E0,2.821000061E2,4.526346948E-1,9.935046196E0,2.500000000E0,6.900000000E1
2.657564323E2,6.496519330E1,2.561882107E1,8.383154462E0,2.589141846E1,1.960000038E0,2.813999939E2,4.544254357E-1,9.935046196E0,2.500000000E0,5.100000000E1
2.667563113E2,6.496519562E1,2.561878341E1,8.065595933E0,2.557385254E1,1.929999948E0,2.822000122E2,4.561915715E-1,9.935046196E0,2.500000000E0,5.000000000E1
2.677564371E2,6.496519889E1,2.561874668E1,8.178580177E0,2.568682861E1,1.919999957E0,2.825000000E2,4.580787891E-1,9.935046196E0,2.500000000E0,6.600000000E1
2.687565079E2,6.496520246E1,2.561870747E1,8.192932236E0,2.570117188E1,1.940000057E0,2.835000000E2,4.599898423E-1,9.935046196E0,2.500000000E0,6.500000000E1
2.697569636E2,6.496520622E1,2.561866784E1,8.165170277E0,2.567340088E1,1.940000057E0,2.821000061E2,4.618679873E-1,9.935046196E0,2.500000000E0,6.600000000E1
2.707570628E2,6.496520910E1,2.561862851E1,8.467119348E0,2.597534180E1,1.980000019E0,2.800000000E2,4.637914941E-1,9.935046196E0,2.500000000E0,6.600000000E1
2.717565044E2,6.496521246E1,2.561858841E1,8.303859023E0,2.581207275E1,1.960000038E0,2.798999939E2,4.657489499E-1,9.935046196E0,2.500000000E0,6.600000000E1
2.727566965E2,6.496521563E1,2.561854749E1,8.306675289E0,2.581488037E1,1.940000057E0,2.797000122E2,4.676114199E-1,9.935046196E0,2.500000000E0,6.500000000E1
2.737567037E2,6.496521818E1,2.561850837E1,8.259258782E0,2.576745605E1,1.980000019E0,2.795000000E2,4.696135202E-1,9.935046196E0,2.500000000E0,6.600000000E1
2.747568636E2,6.496522067E1,2.561846623E1,7.970143413E0,2.547833252E1,1.950000048E0,2.772999878E2,4.716447303E-1,9.935046196E0,2.500000000E0,6.600000000E1
2.757569995E2,6.496522349E1,2.561842358E1,8.045286241E0,2.555346680E1,1.899999976E0,2.781000061E2,4.735305362E-1,9.935046196E0,2.500000000E0,6.600000000E1
2.767567168E2,6.496522562E1,2.561838382E1,8.143621373E0,2.565179443E1,1.950000048E0,2.757000122E2,4.754787827E-1,9.935046196E0,2.500000000E0,6.600000000E1
2.777562846E2,6.496522818E1,2.561834286E1,7.992872608E0,2.550103760E1,1.929999948E0,2.765000000E2,4.774942773E-1,9.935046196E0,2.500000000E0,6.500000000E1
2.787565224E2,6.496523011E1,2.561830027E1,8.094625905E0,2.560278320E1,1.960000038E0,2.747000122E2,4.792614063E-1,9.935046196E0,2.500000000E0,4.700000000E1
2.797569397E2,6.496523118E1,2.561826280E1,8.004605216E0,2.551275635E1,1.879999995E0,2.747999878E2,4.812140860E-1,9.935046196E0,2.500000000E0,6.500000000E1
2.807570470E2,6.496523400E1,2.561822184E1,8.059789317E0,2.556793213E1,1.950000048E0,2.757000122E2,4.832618549E-1,9.935046196E0,2.500000000E0,6.400000000E1
2.817570797E2,6.496523455E1,2.561817834E1,8.074444251E0,2.558258057E1,2.009999990E0,2.730000000E2,4.852480116E-1,9.935046196E0,2.500000000E0,6.400000000E1
2.827561711E2,6.496523457E1,2.561813613E1,8.169054556E0,2.567718506E1,1.980000019E0,2.701000061E2,4.873503450E-1,9.935046196E0,2.500000000E0,6.300000000E1
2.837562940E2,6.496523419E1,2.561809146E1,8.142632102E0,2.565075684E1,1.960000038E0,2.702999878E2,4.893775478E-1,9.935046196E0,2.500000000E0,6.300000000E1
2.847567728E2,6.496523438E1,2.561804838E1,8.138854017E0,2.564697266E1,1.950000048E0,2.711000061E2,4.913373530E-1,9.935046196E0,2.500000000E0,6.400000000E1
2.857563507E2,6.496523438E1,2.561800673E1,8.237919793E0,2.574603271E1,1.929999948E0,2.702999878E2,4.932369758E-1,9.935046196E0,2.500000000E0,6.500000000E1
2.867568835E2,6.496523426E1,2.561796636E1,8.335764575E0,2.584387207E1,1.970000029E0,2.692000122E2,4.951104076E-1,9.935046196E0,2.500000000E0,6.600000000E1
2.877562226E2,6.496523401E1,2.561792655E1,8.146255640E0,2.565435791E1,1.980000019E0,2.691000061E2,4.970554483E-1,9.935046196E0,2.500000000E0,6.600000000E1
2.887570280E2,6.496523450E1,2.561788523E1,7.917013733E0,2.542510986E1,1.980000019E0,2.698999939E2,4.990975530E-1,9.935046196E0,2.500000000E0,6.600000000E1
2.897568256E2,6.496523326E1,2.561784193E1,7.806727964E0,2.531481934E1,2.000000000E0,2.675000000E2,5.011145367E-1,9.935046196E0,2.500000000E0,4.800000000E1
2.907562962E2,6.496523103E1,2.561779939E1,7.760100812E0,2.526818848E1,2.019999981E0,2.647000122E2,5.029631034E-1,9.935046196E0,2.500000000E0,6.400000000E1
2.917567196E2,6.496522933E1,2.561776031E1,7.775485410E0,2.528356934E1,1.970000029E0,2.613999939E2,5.048586799E-1,9.935046196E0,2.500000000E0,6.300000000E1
2.927561813E2,6.496522810E1,2.561772013E1,7.668434085E0,2.517651367E1,1.950000048E0,2.637000122E2,5.069186187E-1,9.935046196E0,2.500000000E0,6.300000000E1
2.937566380E2,6.496522663E1,2.561767649E1,7.576092478E0,2.508416748E1,1.990000010E0,2.650000000E2,5.088665302E-1,9.935046196E0,2.500000000E0,6.300000000E1
2.947561244E2,6.496522457E1,2.561763538E1,7.817246054E0,2.532531738E1,1.909999967E0,2.623999939E2,5.107989162E-1,9.935046196E0,2.500000000E0,6.300000000E1
2.957565595E2,6.496522145E1,2.561759498E1,7.892504964E0,2.540057373E1,1.919999957E0,2.601000061E2,5.127070764E-1,9.935046196E0,2.500000000E0,6.300000000E1
2.967562646E2,6.496521795E1,2.561755528E1,7.939076892E0,2.544714355E1,1.919999957E0,2.595000000E2,5.146079215E-1,9.935046196E0,2.500000000E0,6.500000000E1
2.977567246E2,6.496521412E1,2.561751591E1,7.997794455E0,2.550585938E1,1.899999976E0,2.602000122E2,5.164877955E-1,9.935046196E0,2.500000000E0,5.900000000E1
2.987570720E2,6.496520962E1,2.561747740E1,7.980400419E0,2.548846436E1,1.879999995E0,2.556000061E2,5.185317473E-1,9.935046196E0,2.500000000E0,6.200000000E1
2.997569645E2,6.496520501E1,2.561743535E1,8.129754811E0,2.563781738E1,1.940000057E0,2.555000000E2,5.204661169E-1,9.935046196E0,2.500000000E0,4.500000000E1
3.007566744E2,6.496520116E1,2.561739526E1,8.550288861E0,2.605834961E1,1.950000048E0,2.553999939E2,5.223015052E-1,9.935046196E0,2.500000000E0,6.200000000E1
3.017566708E2,6.496519570E1,2.561735845E1,8.653865354E0,2.616192627E1,1.899999976E0,2.530000000E2,5.258879567E-1,9.935046196E0,2.500000000E0,6.300000000E1
3.037565701E2,6.496518677E1,2.561728521E1,9.022091969E0,2.653015137E1,1.940000057E0,2.528000031E2,5.276229806E-1,9.935046196E0,2.500000000E0,0.000000000E0
3.047563636E2,6.496518160E1,2.561725042E1,9.043759283E0,2.655181885E1,1.860000014E0,2.513999939E2,5.294066126E-1,9.935046196E0,2.500000000E0,6.400000000E1
3.057567958E2,6.496517489E1,2.561721599E1,9.238825954E0,2.674688721E1,1.870000005E0,2.476000061E2,5.312457802E-1,9.935046196E0,2.500000000E0,6.400000000E1
3.067569670E2,6.496516731E1,2.561718125E1,9.368401114E0,2.687646484E1,1.860000014E0,2.448000031E2,5.330560775E-1,9.935046196E0,2.500000000E0,6.400000000E1
